date,open,high,low,close,volume,Daily percent change
12/23/2011,38.1996,38.3553,37.903,38.3405,3340800,0.003674965
12/27/2011,38.1773,38.7261,38.0809,38.6445,3652900,0.012089689
12/28/2011,38.7039,38.8151,38.3034,38.3479,2999400,-0.009283429
12/29/2011,38.4888,38.6149,38.1996,38.3257,3158100,-0.00425563
12/30/2011,38.3702,38.3702,37.9845,37.9845,2558900,-0.010154142
1/3/2012,38.4814,38.4962,37.6508,37.9104,7627900,-0.01506183
1/4/2012,37.8585,37.9919,36.7461,37.0798,14091600,-0.021000653
1/5/2012,35.5966,36.175,35.0404,35.9748,19509400,0.010512915
1/6/2012,36.1973,36.7535,35.9526,36.3011,12595700,0.002859417
1/9/2012,36.353,36.353,35.8042,36.0193,6795300,-0.009264478
1/10/2012,36.175,36.2344,35.9896,36.1824,6325500,0.000204519
1/11/2012,36.0045,36.4123,35.9748,36.3604,3988300,0.009788121
1/12/2012,36.8054,37.0501,36.3827,36.9389,7093700,0.003614076
1/13/2012,36.8202,37.2429,36.6942,36.9463,6843600,0.003413062
1/17/2012,37.0279,37.1836,36.7238,36.9908,5066600,-0.001002952
1/18/2012,36.3604,37.0056,36.1454,36.9834,9401000,0.016845396
1/19/2012,37.0427,37.7472,36.7535,37.7472,7505900,0.018663636
1/20/2012,37.903,37.903,37.0501,37.2059,7244800,-0.018736276
1/23/2012,37.2059,37.5396,37.0279,37.191,6324100,-0.000400635
1/24/2012,37.1465,37.636,37.0649,37.636,4341600,0.013006164
1/25/2012,37.636,38.0142,37.4283,37.9252,5155700,0.007625537
1/26/2012,37.9845,38.0364,37.2726,37.4506,4860000,-0.014256113
1/27/2012,37.4135,37.6656,37.0205,37.1169,5636800,-0.007990969
1/30/2012,36.9982,37.4654,36.8944,37.3245,5347200,0.008742247
1/31/2012,37.5396,37.8955,37.3171,37.6805,6980700,0.003739335
2/1/2012,37.9771,38.2218,37.8288,38.1328,6522900,0.004083099
2/2/2012,39.0673,39.223,38.2293,38.563,9816200,-0.013077302
2/3/2012,38.778,39.0821,38.6001,38.6668,6083200,-0.002875852
2/6/2012,38.5407,38.8299,38.4147,38.6001,3709700,0.001538856
2/7/2012,38.4962,38.9634,38.4888,38.867,4667200,0.009540227
2/8/2012,38.8596,39.0079,38.7187,38.9857,5568000,0.003234519
2/9/2012,39.0302,39.1488,38.8225,39.0821,3284600,0.001327974
2/10/2012,38.8299,38.8893,38.5778,38.8819,3216800,0.001337383
2/13/2012,39.1568,39.224,38.866,39.0524,3114200,-0.002673331
2/14/2012,38.9033,39.1941,38.8287,38.9853,4438100,0.002103357
2/15/2012,38.9853,39.0897,38.4185,38.6422,4806900,-0.008878894
2/16/2012,38.7168,38.851,38.6049,38.7317,3930100,0.000384698
2/17/2012,38.9629,39.3135,38.8734,39.2613,5030200,0.00760036
2/21/2012,39.3731,39.6715,39.0151,39.1867,5074400,-0.004756716
2/22/2012,39.1792,39.6416,38.9704,39.5074,6773400,0.008307304
2/23/2012,39.8729,40.8872,39.2389,40.6485,15638800,0.019080655
2/24/2012,40.8648,41.3645,40.738,41.1855,10355600,0.007786721
2/27/2012,40.9021,41.3422,40.835,41.2527,6293700,0.008498838
2/28/2012,41.2303,41.8344,41.1632,41.7748,8244500,0.013034174
2/29/2012,41.7524,42.4535,41.6554,42.2819,11148500,0.012523089
3/1/2012,42.2073,42.446,41.9165,42.3341,8223000,0.002995221
3/2/2012,42.2073,42.4386,42.0358,42.2073,3462100,0
3/5/2012,42.2968,42.4087,41.8568,42.2894,4053900,-0.000174985
3/6/2012,41.9463,42.2819,41.8568,42.1328,6344500,0.00442648
3/7/2012,42.1626,42.2745,41.9612,42.2446,4776600,0.001941076
3/8/2012,42.364,42.804,42.2968,42.6847,5108000,0.007513231
3/9/2012,42.7816,43.1098,42.7369,43.0278,4200000,0.005721882
3/12/2012,43.0874,43.3261,43.0352,43.2441,4660100,0.003623616
3/13/2012,43.3559,43.6692,43.1098,43.617,5178800,0.005986198
3/14/2012,43.6841,43.8482,43.5499,43.7065,4766600,0.00051251
3/15/2012,43.6245,43.893,43.3634,43.8184,4510700,0.004425082
3/16/2012,43.8706,43.9675,43.341,43.5648,5758900,-0.007019429
3/19/2012,43.535,43.6319,43.1247,43.535,4229300,0
3/20/2012,43.162,43.4678,42.9905,43.2664,5256500,0.002412958
3/21/2012,43.3783,43.5648,42.9159,42.9383,5421700,-0.010247262
3/22/2012,42.9159,43.2142,42.7816,43.2068,4237700,0.006732737
3/23/2012,43.2366,43.5573,42.9756,43.4007,4879700,0.003781045
3/26/2012,43.4977,43.9675,43.4007,43.9004,3876200,0.009173037
3/27/2012,43.8109,43.8855,43.4007,43.4007,4113200,-0.00945146
3/28/2012,43.6394,43.8258,43.2814,43.3783,4566500,-0.006019139
3/29/2012,43.1993,43.2888,42.8861,43.2441,4237400,0.001035979
3/30/2012,43.3261,43.6468,43.3261,43.4604,3724100,0.003090169
4/2/2012,43.52,43.5946,43.2515,43.4753,4146500,-0.00102817
