symbol,name,currency,stockExchange,exchangeShortName
ILCUSD,ILCoin USD,USD,CCC,CRYPTO
CELUSD,Celsius USD,USD,CCC,CRYPTO
HTMLUSD,HTMLCOIN USD,USD,CCC,CRYPTO
PACUSD,PACGlobal USD,USD,CCC,CRYPTO
INSTARUSD,InsightsNetwork USD,USD,CCC,CRYPTO
VETUSD,VeChain USD,USD,CCC,CRYPTO
RUNEUSD,THORChain USD,USD,CCC,CRYPTO
STRAXUSD,Stratis USD,USD,CCC,CRYPTO
NASUSD,Nebulas USD,USD,CCC,CRYPTO
PPCUSD,Peercoin USD,USD,CCC,CRYPTO
TCAPUSD,,USD,CCC,CRYPTO
CLVUSD,Clover USD,USD,CCC,CRYPTO
INTUSD,InternetNodeToken USD,USD,CCC,CRYPTO
GLEECUSD,Gleec USD,USD,CCC,CRYPTO
SFTUSD,SafexToken USD,USD,CCC,CRYPTO
RBYUSD,Rubycoin USD,USD,CCC,CRYPTO
CHIUSD,Xaya USD,USD,CCC,CRYPTO
VTHOUSD,VeThorToken USD,USD,CCC,CRYPTO
HEXUSD,HEX USD,USD,CCC,CRYPTO
NEARUSD,NEAR Protocol USD,USD,CCC,CRYPTO
HNTUSD,Helium USD,USD,CCC,CRYPTO
FLOWUSD,Flow USD,USD,CCC,CRYPTO
GRTUSD,Golden Ratio Token USD,USD,CCC,CRYPTO
KLAYUSD,Klaytn USD,USD,CCC,CRYPTO
BSTUSD,BlockStamp USD,USD,CCC,CRYPTO
XECUSD,eCash USD,USD,CCC,CRYPTO
ONEUSD,BigONE Token USD,USD,CCC,CRYPTO
GALAUSD,Gala USD,USD,CCC,CRYPTO
STXUSD,Stacks USD,USD,CCC,CRYPTO
HOTUSD,Hydro Protocol USD,USD,CCC,CRYPTO
AMPUSD,Amp USD,USD,CCC,CRYPTO
KCSUSD,KuCoin Token USD,USD,CCC,CRYPTO
CRVUSD,Curve DAO Token USD,USD,CCC,CRYPTO
HTUSD,Huobi Token USD,USD,CCC,CRYPTO
OKBUSD,OKB USD,USD,CCC,CRYPTO
SOLUSD,Solana USD,USD,CCC,CRYPTO
